MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009070015357,15.15,0.06,196.38754,-10.55534,55644.42263,0
1009070015357,15.16,0.06,196.38756,-10.55536,55644.42843,0
1009070015357,15.07,0.06,196.38756,-10.55530,55688.22613,0
1009070015357,15.07,0.06,196.38753,-10.55531,55688.23123,0
1009070015357,15.09,0.06,196.38753,-10.55529,55688.23637,0
1009070015357,15.06,0.06,196.38755,-10.55536,55688.24153,0
1009070015357,14.98,0.06,196.38756,-10.55532,55959.49250,0
1009070015357,15.01,0.06,196.38757,-10.55535,55959.49854,0
1009070015357,15.00,0.06,196.38754,-10.55533,55959.50473,0
1009070015357,15.00,0.06,196.38752,-10.55536,55959.51084,0
1009070015357,14.99,0.06,196.38756,-10.55533,55979.46201,0
1009070015357,14.99,0.06,196.38756,-10.55535,55979.46907,0
1009070015357,14.99,0.06,196.38753,-10.55530,55979.47607,0
1009070015357,14.95,0.06,196.38758,-10.55530,55979.48308,0
1009070015357,14.95,0.06,196.38755,-10.55532,55990.36428,0
1009070015357,14.98,0.06,196.38753,-10.55536,55990.36881,0
1009070015357,14.96,0.06,196.38752,-10.55533,55990.37345,0
1009070015357,14.97,0.06,196.38754,-10.55530,55990.37804,0
1009070015357,14.94,0.06,196.38753,-10.55534,56000.44664,0
1009070015357,14.96,0.06,196.38755,-10.55533,56000.45174,0
1009070015357,14.95,0.06,196.38754,-10.55533,56000.45682,0
1009070015357,14.99,0.06,196.38755,-10.55534,56000.46198,0
1009070015357,14.94,0.06,196.38752,-10.55533,56011.26470,0
1009070015357,14.94,0.06,196.38751,-10.55532,56011.26983,0
1009070015357,14.94,0.06,196.38752,-10.55533,56011.27492,0
1009070015357,14.94,0.06,196.38754,-10.55534,56011.27998,0
1009070015357,14.95,0.06,196.38754,-10.55532,56019.32180,0
1009070015357,14.95,0.06,196.38753,-10.55530,56019.33364,0
1009070015357,14.96,0.06,196.38754,-10.55530,56019.34546,0
1009070015357,14.93,0.06,196.38755,-10.55532,56019.35735,0
1009070015357,14.95,0.06,196.38756,-10.55531,56040.28440,0
1009070015357,14.96,0.06,196.38754,-10.55532,56040.28723,0
1009070015357,14.93,0.06,196.38753,-10.55535,56040.29010,0
1009070015357,14.92,0.06,196.38752,-10.55533,56040.29295,0
1009070015357,14.92,0.06,196.38751,-10.55532,56047.17282,0
1009070015357,14.91,0.06,196.38750,-10.55535,56047.18018,0
1009070015357,14.91,0.06,196.38758,-10.55534,56047.18750,0
1009070015357,14.93,0.06,196.38753,-10.55532,56047.19497,0
1009070015357,14.92,0.06,196.38752,-10.55535,56060.18256,0
1009070015357,14.93,0.06,196.38753,-10.55533,56060.19044,0
1009070015357,14.92,0.06,196.38755,-10.55534,56060.19914,0
1009070015357,14.90,0.06,196.38754,-10.55537,56060.20714,0
1009070015357,14.92,0.06,196.38756,-10.55531,56073.15933,0
1009070015357,14.90,0.06,196.38753,-10.55538,56073.16437,0
1009070015357,14.92,0.06,196.38754,-10.55533,56073.16944,0
1009070015357,14.91,0.06,196.38754,-10.55532,56073.17446,0
1009070015357,14.85,0.06,196.38753,-10.55533,56300.50437,0
1009070015357,14.84,0.06,196.38755,-10.55533,56300.50947,0
1009070015357,14.85,0.06,196.38752,-10.55533,56300.51456,0
1009070015357,14.84,0.06,196.38755,-10.55532,56300.51972,0
1009070015357,14.84,0.06,196.38753,-10.55534,56346.40937,0
1009070015357,14.84,0.06,196.38751,-10.55530,56346.41582,0
1009070015357,14.85,0.06,196.38753,-10.55531,56346.42234,0
1009070015357,14.84,0.06,196.38755,-10.55529,56346.42875,0
1009070015357,14.87,0.06,196.38753,-10.55533,56356.32288,0
1009070015357,14.87,0.06,196.38751,-10.55532,56356.33076,0
1009070015357,14.88,0.06,196.38753,-10.55532,56356.33872,0
1009070015357,14.87,0.06,196.38754,-10.55536,56356.34664,0
1009070015357,15.00,0.06,196.38754,-10.55533,55949.45988,0
1009070015357,15.04,0.06,196.38752,-10.55529,55949.46788,0
1009070015357,15.00,0.06,196.38754,-10.55531,55949.47588,0
1009070015357,15.03,0.06,196.38754,-10.55533,55949.48394,0
1009070015357,14.87,0.06,196.38753,-10.55536,56385.32476,0
1009070015357,14.88,0.06,196.38754,-10.55527,56385.32987,0
1009070015357,14.87,0.06,196.38756,-10.55534,56385.33500,0
1009070015357,14.87,0.06,196.38755,-10.55536,56385.34009,0
1009070015357,14.88,0.06,196.38754,-10.55533,56401.31611,0
1009070015357,14.89,0.06,196.38756,-10.55532,56401.32389,0
1009070015357,14.90,0.06,196.38753,-10.55534,56401.33171,0
1009070015357,14.89,0.06,196.38756,-10.55532,56401.33959,0
1009070015357,14.89,0.06,196.38756,-10.55534,56413.29368,0
1009070015357,14.88,0.06,196.38757,-10.55530,56413.30245,0
1009070015357,14.89,0.06,196.38754,-10.55531,56413.31130,0
1009070015357,14.86,0.06,196.38760,-10.55529,56413.32019,0
1009070015357,14.89,0.06,196.38756,-10.55532,56425.22323,0
1009070015357,14.90,0.06,196.38754,-10.55529,56425.23051,0
1009070015357,14.92,0.06,196.38755,-10.55533,56425.23788,0
1009070015357,14.90,0.06,196.38758,-10.55531,56425.24522,0
1009070015357,14.90,0.06,196.38754,-10.55528,56430.20596,0
1009070015357,14.92,0.06,196.38752,-10.55530,56430.21280,0
1009070015357,14.91,0.06,196.38752,-10.55534,56430.21960,0
1009070015357,14.91,0.06,196.38752,-10.55533,56430.22641,0
1009070015357,14.88,0.06,196.38751,-10.55530,56442.15346,0
1009070015357,14.88,0.06,196.38751,-10.55534,56442.16075,0
1009070015357,14.88,0.06,196.38753,-10.55534,56442.16802,0
1009070015357,14.89,0.06,196.38755,-10.55529,56442.17533,0
2010179006026,15.05,0.05,196.38754,-10.55535,53887.16498,0
2010179006026,15.05,0.05,196.38754,-10.55535,53887.17177,0
2010179006026,15.05,0.05,196.38753,-10.55535,53887.17844,0
2010179006026,15.04,0.05,196.38754,-10.55535,53887.18520,0
2010179006026,15.07,0.05,196.38754,-10.55536,53886.18029,0
2010179006026,15.05,0.05,196.38755,-10.55535,53886.18749,0
2010179006026,15.04,0.05,196.38754,-10.55534,53886.19464,0
2010179006026,15.06,0.05,196.38754,-10.55535,53886.20184,0
2010179006026,14.86,0.05,196.38756,-10.55538,54569.38138,0
2010179006026,14.85,0.05,196.38756,-10.55536,54569.38746,0
2010179006026,14.86,0.05,196.38755,-10.55536,54569.39358,0
2010179006026,14.86,0.05,196.38755,-10.55536,54569.39980,0
2010179006026,14.79,0.05,196.38754,-10.55543,54608.17022,0
2010179006026,14.83,0.05,196.38754,-10.55544,54608.17441,0
2010179006026,14.82,0.05,196.38756,-10.55541,54608.17826,0
2010179006026,14.84,0.05,196.38757,-10.55543,54608.18205,0
2010179006026,14.90,0.05,196.38753,-10.55537,54942.24403,0
2010179006026,14.89,0.05,196.38753,-10.55536,54942.25158,0
2010179006026,14.89,0.05,196.38752,-10.55535,54942.25905,0
2010179006026,14.89,0.05,196.38754,-10.55535,54942.26663,0
2010179006026,14.92,0.05,196.38755,-10.55543,54867.42883,0
2010179006026,14.90,0.05,196.38755,-10.55547,54867.43488,0
2010179006026,14.91,0.05,196.38756,-10.55545,54867.44079,0
2010179006026,14.92,0.05,196.38754,-10.55543,54867.44680,0
2010179006026,14.93,0.05,196.38753,-10.55537,54917.39995,0
2010179006026,14.94,0.05,196.38754,-10.55537,54917.40752,0
2010179006026,14.92,0.05,196.38753,-10.55536,54917.41507,0
2010179006026,14.93,0.05,196.38753,-10.55537,54917.42264,0
2010179006026,15.11,0.05,196.38751,-10.55534,55292.27725,0
2010179006026,15.12,0.05,196.38752,-10.55533,55292.28323,0
2010179006026,15.13,0.05,196.38753,-10.55535,55292.28921,0
2010179006026,15.12,0.05,196.38751,-10.55532,55292.29515,0
2010179006026,15.12,0.05,196.38756,-10.55531,55301.29103,0
2010179006026,15.12,0.05,196.38756,-10.55530,55301.29862,0
2010179006026,15.12,0.05,196.38756,-10.55530,55301.30632,0
2010179006026,15.12,0.05,196.38755,-10.55530,55301.31396,0
2010179006026,15.14,0.05,196.38751,-10.55535,55539.51893,0
2010179006026,15.16,0.05,196.38750,-10.55537,55539.52365,0
2010179006026,15.13,0.05,196.38750,-10.55536,55539.52836,0
2010179006026,15.13,0.05,196.38751,-10.55535,55539.53311,0
2010179006026,14.97,0.05,196.38753,-10.55534,55986.41652,0
2010179006026,14.96,0.05,196.38753,-10.55533,55986.42351,0
2010179006026,14.95,0.05,196.38753,-10.55534,55986.43054,0
2010179006026,14.94,0.05,196.38754,-10.55535,55986.43749,0
2010179006026,14.88,0.05,196.38753,-10.55535,56068.22546,0
2010179006026,14.87,0.05,196.38753,-10.55532,56068.23292,0
2010179006026,14.88,0.05,196.38753,-10.55532,56068.24006,0
2010179006026,14.88,0.05,196.38752,-10.55532,56068.24704,0
2010179006026,14.86,0.05,196.38752,-10.55533,56389.36616,0
2010179006026,14.87,0.05,196.38753,-10.55534,56389.37211,0
2010179006026,14.86,0.05,196.38753,-10.55533,56389.37806,0
2010179006026,14.86,0.05,196.38753,-10.55533,56389.38403,0
2010179006026,14.87,0.05,196.38752,-10.55532,56413.23939,0
2010179006026,14.85,0.05,196.38752,-10.55533,56413.24475,0
2010179006026,14.85,0.05,196.38754,-10.55532,56413.25016,0
2010179006026,14.87,0.05,196.38753,-10.55533,56413.25557,0
